"","pycomnam2","pynam","NEFSC","pynam2","COMMON.NAME","SCIENTIFIC.NAME","NEAMAP","total","PREY","COMMON"
"1","BAY ANCHOVY","ANCHOA MITCHILLI",321,"anchoa mitchilli","bay anchovy","Anchoa mitchilli",1378,1699,"Anchoa mitchilli","Bay anchovy"
"2","BUTTERFISH","PEPRILUS TRIACANTHUS",307,"peprilus triacanthus","butterfish","Peprilus triacanthus",356,663,"Peprilus triacanthus","Butterfish"
"3","ANCHOVIES","ENGRAULIDAE",408,"engraulidae","anchovy (unidentified)","Engraulidae",61,469,"Engraulidae","Anchovy (unidentified)"
"4","STRIPED ANCHOVY","ANCHOA HEPSETUS",171,"anchoa hepsetus","striped anchovy","Anchoa hepsetus",266,437,"Anchoa hepsetus","Striped anchovy"
"5","","LOLIGO SP",423,"loligo sp","Loligo squid","Loligo spp.",8,431,"Loligo spp.","Loligo squid"
"6","""SQUIDS CUTTLEFISH AND OCTOPODS""","CEPHALOPODA",262,"cephalopoda","unidentified cephalopoda","Cephalopoda",8,270,"Cephalopoda","Unidentified cephalopoda"
"7","SAND LANCES","AMMODYTES SP",96,"ammodytes sp","sand lances","Ammodytes spp.",139,235,"Ammodytes spp.","Sand lances"
"8","LONGFIN SQUID","LOLIGO PEALEII",17,"loligo pealeii","longfin inshore squid","Loligo pealeii",171,188,"Loligo pealeii","Longfin inshore squid"
"9","SCUP","STENOTOMUS CHRYSOPS",69,"stenotomus chrysops","scup","Stenotomus chrysops",108,177,"Stenotomus chrysops","Scup"
"10","ROUND HERRING","ETRUMEUS TERES",126,"etrumeus teres","round herring","Etrumeus teres",15,141,"Etrumeus teres","Round herring"
"11",NA,"TEUTHIDA",0,"teuthida","unidentified squid","Teuthida",95,95,"Teuthida","Unidentified squids"
"12","SILVER HAKE","MERLUCCIUS BILINEARIS",53,"merluccius bilinearis","silver hake","Merluccius bilinearis",10,63,"Merluccius bilinearis","Silver hake"
"13","","ANCHOA SP",7,"anchoa sp","common anchovies","Anchoa spp.",52,59,"Anchoa spp.","Common anchovies"
"14","HERRINGS","CLUPEIDAE",30,"clupeidae","unidentified herring","Clupeidae",26,56,"Clupeidae","Unidentified herring"
"15","BLUEFISH","POMATOMUS SALTATRIX",22,"pomatomus saltatrix","bluefish","Pomatomus saltatrix",28,50,"Pomatomus saltatrix","Bluefish"
"16","ATLANTIC MENHADEN","BREVOORTIA TYRANNUS",10,"brevoortia tyrannus","Atlantic menhaden","Brevoortia tyrannus",36,46,"Brevoortia tyrannus","Atlantic menhaden"
"17","ATLANTIC HERRING","CLUPEA HARENGUS",37,"clupea harengus","Atlantic herring","Clupea harengus",4,41,"Clupea harengus","Atlantic herring"
"18","","ILLEX SP",40,"illex sp",NA,NA,0,40,"Illex sp","Shortfin squids"
"19","WEAKFISH","CYNOSCION REGALIS",12,"cynoscion regalis","weakfish","Cynoscion regalis",26,38,"Cynoscion regalis","Weakfish"
"20","SILVER ANCHOVY","ENGRAULIS EURYSTOLE",18,"engraulis eurystole","silver anchovy","Engraulis eurystole",8,26,"Engraulis eurystole","Silver anchovy"
"21","ATLANTIC MACKEREL","SCOMBER SCOMBRUS",14,"scomber scombrus",NA,NA,0,14,"Scomber scombrus","Atlantic mackerel"
